word1,word2,prime,target,wrecord1,wrecord2,precord3,Rname,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instructiontext.started,instructiontext.stopped,key_resp_instruction.keys,key_resp_instruction.rt,key_resp_instruction.started,key_resp_instruction.stopped,text1.started,text1.stopped,sound1.started,sound1.stopped,text2.started,text2.stopped,sound2.started,sound2.stopped,prime_text.started,prime_text.stopped,prime_sound.started,prime_sound.stopped,target_text.started,target_text.stopped,pan_record.filename,pan_record.started,pan_record.stopped,record_notification.started,record_notification.stopped,text.started,text.stopped,End_text.started,End_text.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,12.597211899992544,None,space,0.6721379999944475,12.597211899992544,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,okay,001,2020_Feb_15_1911,script,3.2.4,60.05663340306001,
Ids,gsd,fgh,怕,Eye.wav,Cap.wav,Pun.wav,怕e_English,0,0,0,1,,,,,,,13.424486100004287,None,13.417130719992565,17.432456900001853,17.415890799995395,None,17.415620740005398,21.415342199994484,21.415342199994484,None,21.415154440005427,25.415598199993838,25.415598199993838,None,C:\Users\kevin\Documents\Spring 2020\Psy Independent Study\Linguistics-Mandarin-English-Priming-Experiment\data/okay_script_2020_Feb_15_1911_wav\pan_record-1581811913.418.wav,12.001452319978853,None,25.415598199993838,None,13.424486100004287,None,,,,,,,okay,001,2020_Feb_15_1911,script,3.2.4,60.05663340306001,
Eye,Cap,Pun,潘,Eye.wav,Cap.wav,Pun.wav,潘_close_English,0,1,1,0,,,,,,,29.36460000000079,None,29.365400259997113,33.38105969999742,33.34766729999683,None,33.347828540002226,37.34755449999648,37.34755449999648,None,37.34744923999533,41.34750420000637,41.34750420000637,None,C:\Users\kevin\Documents\Spring 2020\Psy Independent Study\Linguistics-Mandarin-English-Priming-Experiment\data/okay_script_2020_Feb_15_1911_wav\pan_record-1581811929.348.wav,12.002024159999564,None,41.34750420000637,None,29.36460000000079,None,,,,,,,okay,001,2020_Feb_15_1911,script,3.2.4,60.05663340306001,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.31485870000324,None,space,2.106536099992809,45.31485870000324,None,okay,001,2020_Feb_15_1911,script,3.2.4,60.05663340306001,
